Archive ID,Title,Volume,Image Count,SI Libraries URL,BHL URL,Internet Archive URL
annualreportofbo1929smit,Annual report of the Board of Regents of the Smithsonian Institution,1929,748,https://library.si.edu/digital-library/book/annualreportofbo1929smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1929smit,https://archive.org/details/annualreportofbo1929smit
annualreportofbo18871smit,Annual report of the Board of Regents of the Smithsonian Institution,1887:pt.1,776,https://library.si.edu/digital-library/book/annualreportofbo18871smit,http://www.biodiversitylibrary.org/ia/annualreportofbo18871smit,https://archive.org/details/annualreportofbo18871smit
annualreportofbo1867smith,Annual report of the Board of Regents of the Smithsonian Institution,1867,526,https://library.si.edu/digital-library/book/annualreportofbo1867smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1867smith,https://archive.org/details/annualreportofbo1867smith
annualreportofbo1901smit,Annual report of the Board of Regents of the Smithsonian Institution,1901,1216,https://library.si.edu/digital-library/book/annualreportofbo1901smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1901smit,https://archive.org/details/annualreportofbo1901smit
annualreportofbo1863smit,Annual report of the Board of Regents of the Smithsonian Institution,1863,442,https://library.si.edu/digital-library/book/annualreportofbo1863smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1863smit,https://archive.org/details/annualreportofbo1863smit
annualreportofbo1914smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1914,934,https://library.si.edu/digital-library/book/annualreportofbo1914smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1914smitfo,https://archive.org/details/annualreportofbo1914smitfo
smithsonianyear1975smit,Smithsonian year,1975,608,https://library.si.edu/digital-library/book/smithsonianyear1975smit,http://www.biodiversitylibrary.org/ia/smithsonianyear1975smit,https://archive.org/details/smithsonianyear1975smit
annualreportfory1964united,Annual report for the year ended June 30 ...,1964,232,https://library.si.edu/digital-library/book/annualreportfory1964united,http://www.biodiversitylibrary.org/ia/annualreportfory1964united,https://archive.org/details/annualreportfory1964united
annualreportofbo1957smit,Annual report of the Board of Regents of the Smithsonian Institution,1957,606,https://library.si.edu/digital-library/book/annualreportofbo1957smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1957smit,https://archive.org/details/annualreportofbo1957smit
annualreportofbo1931smit,Annual report of the Board of Regents of the Smithsonian Institution,1931,720,https://library.si.edu/digital-library/book/annualreportofbo1931smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1931smit,https://archive.org/details/annualreportofbo1931smit
statementbysecre1981smit,Statement by the Secretary,1981,82,https://library.si.edu/digital-library/book/statementbysecre1981smit,http://www.biodiversitylibrary.org/ia/statementbysecre1981smit,https://archive.org/details/statementbysecre1981smit
annualreportofbo1857smit,Annual report of the Board of Regents of the Smithsonian Institution,1857,458,https://library.si.edu/digital-library/book/annualreportofbo1857smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1857smit,https://archive.org/details/annualreportofbo1857smit
annualreportofb1895smit,Annual report of the Board of Regents of the Smithsonian Institution,1895,1064,https://library.si.edu/digital-library/book/annualreportofb1895smit,http://www.biodiversitylibrary.org/ia/annualreportofb1895smit,https://archive.org/details/annualreportofb1895smit
explorationsfiel193032smit,Explorations and field-work of the Smithsonian Institution in ..,1930-1932,550,https://library.si.edu/digital-library/book/explorationsfiel193032smit,http://www.biodiversitylibrary.org/ia/explorationsfiel193032smit,https://archive.org/details/explorationsfiel193032smit
